,location,date,revenue,freq
354,Abila Airport,1/8/2014,5492.299999999999,2.0
309,Carlyle Chemical Inc.,1/8/2014,4983.52,1.0
290,Nationwide Refinery,1/8/2014,4513.16,1.0
348,Kronos Pipe and Irrigation,1/8/2014,3615.61,1.0
353,Maximum Iron and Steel,1/8/2014,3136.01,1.0
292,Stewart and Sons Fabrication,1/8/2014,1738.26,1.0
372,Frydos Autosupply n' More,1/8/2014,268.89,1.0
381,General Grocer,1/8/2014,265.84,1.0
376,Albert's Fine Clothing,1/8/2014,136.01,1.0
327,Gelatogalore,1/8/2014,119.75,1.0
314,Chostus Hotel,1/8/2014,111.89,1.0
315,Ouzeri Elian,1/8/2014,109.73,1.0
367,Guy's Gyros,1/8/2014,99.08,1.0
371,Hippokampos,1/8/2014,96.75,1.0
302,Bean There Done That,1/8/2014,94.96,1.0
375,Katerina’s Café,1/8/2014,92.83,1.0
274,Brew've Been Served,1/8/2014,91.87,1.0
273,Hallowed Grounds,1/8/2014,79.92,1.0
306,Frank's Fuel,1/8/2014,65.34,1.0
316,Abila Zacharo,1/8/2014,36.85,1.0
349,Kalami Kafenion,1/8/2014,34.98,1.0
305,Jack's Magical Beans,1/8/2014,31.25,1.0
288,Coffee Cameleon,1/8/2014,16.17,1.0
301,Brewed Awakenings,1/8/2014,15.03,1.0
294,Coffee Shack,1/8/2014,13.13,1.0
